2024-04-25 08:12:36 - System Idle Process (PID: 0) - CPU: 692.0%, MEM: 6.474914239760894e-05%
2024-04-25 08:13:37 - System Idle Process (PID: 0) - CPU: 657.6%, MEM: 6.474914239760894e-05%
2024-04-25 08:14:39 - System Idle Process (PID: 0) - CPU: 626.8%, MEM: 6.474914239760894e-05%
2024-04-25 08:14:41 - SearchIndexer.exe (PID: 12388) - CPU: 101.1%, MEM: 0.4654815846964107%
2024-04-25 08:15:41 - System Idle Process (PID: 0) - CPU: 657.5%, MEM: 6.474914239760894e-05%
2024-04-25 08:16:43 - System Idle Process (PID: 0) - CPU: 651.4%, MEM: 6.474914239760894e-05%
2024-04-25 08:16:44 - SearchIndexer.exe (PID: 12388) - CPU: 84.9%, MEM: 0.4344991200591548%
2024-04-25 08:17:45 - System Idle Process (PID: 0) - CPU: 670.3%, MEM: 6.474914239760894e-05%
2024-04-25 08:18:46 - System Idle Process (PID: 0) - CPU: 726.3%, MEM: 6.474914239760894e-05%
2024-04-25 08:19:48 - System Idle Process (PID: 0) - CPU: 721.0%, MEM: 6.474914239760894e-05%
2024-04-25 08:20:50 - System Idle Process (PID: 0) - CPU: 679.7%, MEM: 6.474914239760894e-05%
2024-04-25 08:21:52 - System Idle Process (PID: 0) - CPU: 636.2%, MEM: 6.474914239760894e-05%
2024-04-25 08:22:54 - System Idle Process (PID: 0) - CPU: 672.6%, MEM: 6.474914239760894e-05%
2024-04-25 08:23:56 - System Idle Process (PID: 0) - CPU: 556.3%, MEM: 6.474914239760894e-05%
2024-04-25 08:23:58 - SearchIndexer.exe (PID: 12388) - CPU: 94.4%, MEM: 0.5468065075478076%
2024-04-25 08:24:58 - System Idle Process (PID: 0) - CPU: 664.0%, MEM: 6.474914239760894e-05%
2024-04-25 08:26:00 - System Idle Process (PID: 0) - CPU: 681.3%, MEM: 6.474914239760894e-05%
2024-04-25 08:27:02 - System Idle Process (PID: 0) - CPU: 585.6%, MEM: 6.474914239760894e-05%
2024-04-25 08:27:03 - SearchIndexer.exe (PID: 12388) - CPU: 104.2%, MEM: 0.47370472578090705%
2024-04-25 08:28:03 - System Idle Process (PID: 0) - CPU: 645.7%, MEM: 6.474914239760894e-05%
2024-04-25 08:29:05 - System Idle Process (PID: 0) - CPU: 652.3%, MEM: 6.474914239760894e-05%
2024-04-25 08:30:07 - System Idle Process (PID: 0) - CPU: 734.2%, MEM: 6.474914239760894e-05%
2024-04-25 08:31:08 - System Idle Process (PID: 0) - CPU: 648.5%, MEM: 6.474914239760894e-05%
2024-04-25 08:32:10 - System Idle Process (PID: 0) - CPU: 666.3%, MEM: 6.474914239760894e-05%
2024-04-25 08:32:11 - SearchIndexer.exe (PID: 12388) - CPU: 101.0%, MEM: 0.5898646872422175%
2024-04-25 08:33:11 - System Idle Process (PID: 0) - CPU: 726.8%, MEM: 6.474914239760894e-05%
2024-04-25 08:34:13 - System Idle Process (PID: 0) - CPU: 716.8%, MEM: 6.474914239760894e-05%
2024-04-25 08:35:14 - System Idle Process (PID: 0) - CPU: 698.3%, MEM: 6.474914239760894e-05%
2024-04-25 08:36:16 - System Idle Process (PID: 0) - CPU: 674.0%, MEM: 6.474914239760894e-05%
2024-04-25 08:37:18 - System Idle Process (PID: 0) - CPU: 727.3%, MEM: 6.474914239760894e-05%
2024-04-25 08:38:20 - System Idle Process (PID: 0) - CPU: 756.3%, MEM: 6.474914239760894e-05%
2024-04-25 08:39:23 - System Idle Process (PID: 0) - CPU: 747.9%, MEM: 6.474914239760894e-05%
2024-04-25 08:40:25 - System Idle Process (PID: 0) - CPU: 767.7%, MEM: 6.474914239760894e-05%
2024-04-25 08:41:27 - System Idle Process (PID: 0) - CPU: 762.4%, MEM: 6.474914239760894e-05%
2024-04-25 08:42:30 - System Idle Process (PID: 0) - CPU: 763.7%, MEM: 6.474914239760894e-05%
2024-04-25 08:43:32 - System Idle Process (PID: 0) - CPU: 749.0%, MEM: 6.474914239760894e-05%
2024-04-25 08:44:35 - System Idle Process (PID: 0) - CPU: 770.5%, MEM: 6.474914239760894e-05%
2024-04-25 08:45:37 - System Idle Process (PID: 0) - CPU: 720.3%, MEM: 6.474914239760894e-05%
2024-04-25 10:15:02 - System Idle Process (PID: 0) - CPU: 696.2%, MEM: 6.474914239760894e-05%
2024-04-25 10:16:07 - System Idle Process (PID: 0) - CPU: 634.6%, MEM: 6.474914239760894e-05%
2024-04-25 10:18:07 - System Idle Process (PID: 0) - CPU: 352.6%, MEM: 6.474914239760894e-05%
2024-04-25 10:18:07 - python.exe (PID: 1848) - CPU: 96.4%, MEM: 0.8464331639927429%
2024-04-25 10:18:08 - Code.exe (PID: 18508) - CPU: 104.4%, MEM: 2.461471022816303%
2024-04-25 10:29:31 - System Idle Process (PID: 0) - CPU: 723.1%, MEM: 6.474914239760894e-05%
2024-04-25 10:30:33 - System Idle Process (PID: 0) - CPU: 683.1%, MEM: 6.474914239760894e-05%
